Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
Soutěž v programování;Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.;"V koncepci 2030+ se hovoří o ""Vyšší míře využívání digitálních technologií a smysluplné práce s nimi"", jako o významném faktoru vzdělávacího procesu vztahu žáků a učitelů k digitálním technologiím. Soutěž v programování je zaměřena na žáky SŠ, SOŠ a ZŠ. Klade důraz nejen na základy algoritmizace, ale i na praktické věci, které musí každý programátor zvládnout, jako např. uživatelské rozhraní, grafika, síťová komunikace, a další. Celý svět se začal potýkat s generativní umělou inteligencí, programátoři a soutěže toho nejsou ušetřeny. Hlavním cílem této soutěže je proto zvýšení zájmu žáků základních a středních škol o technické obory a smysluplné využití informačních technologií a umělé inteligence. Dílčím cílem je pak podnícení přirozené zvídavosti a prohloubení stávajících znalostí a dovedností soutěžících.";40;oborová;březen 2026;duben 2026;červen 2026;Ne;Ano;Soutěž v programování navazuje na výuku nové informatiky na základních, středních a středních odborných školách. V kategorii programování je možné používat libovolné jazyky dle preference soutěžících. Nejčastěji se však používají jazyky jako Javascript, Python, Java a C#, které jsou dnes ve školách a v zájmových kroužcích nejčastěji vyučované. Kategorie programování mikrořadičů je pak zaměřena na automatizaci, programování embeded systémů a IoT.;Kateřina Langová, Ing., DiS.;739 452 671;Langova.Katerina@kyberna.cz;Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.;Hradecká 1151/9, Hradec Králové 3;https://programuj.si/souteze/programovani
Pohár vědy - Stroj času 2026;Asociace malých debrujárů České republiky, spolek;Mezinárodní soutěž POHÁR VĚDY bude v roce 2026 realizována již po patnácté, tentokrát s podtitulem Stroj času 2026. Soutěž nabízí žákům všech věkových kategorií týmové projektové aktivity v oblasti kreativní, heuristické, badatelské a experimentální. Úlohy jsou koncipovány na řešení teoretických i praktických problémů z různých oborů fyziky, chemie, matematiky, techniky, biologie a ekologie. Soutěž podporuje týmovou spolupráci a badatelství, rozvoj ICT, komunikačních a prezentačních kompetencí účastníků.;15;oborová;duben 2026;květen 2026;5. - 6. června 2026;Ano;Ano;Ano, soutěž v 15. ročníku navazuje na OVU v uzlových bodech 5. a 9. ročníku a více se zaměřuje na kompetenční a osobnostní rozvoj. Kompetenční rozvoj je směřován na následující klíčové kompetence: Klíčová kompetence k učení, Klíčová kompetence komunikační, Klíčová kompetence osobnostní a sociální, Klíčová kompetence k občanství a k udržitelnosti, Klíčová kompetence k podnikavosti a pracovní, Klíčová kompetence k řešení problémů a Klíčová kompetence digitální. Soutěž navazuje na RVP ZŠ – Člověk a příroda a Polytechnická výchova – environmentální výchova, fyzika, chemie, technická tvořivost a inovace a na RVP SŠ – Přírodovědné vzdělávání Poskytujeme žákům možnosti, prostředky a metody pro hlubší porozumění přírodním jevům a jejich zákonitostem. Tím získávají potřebný základ pro lepší pochopení a využívání současných technologií a lépe se tak orientují v běžném životě. Jednotlivé badatelské úkoly navazují na RVP jednotlivých věkových kategorií v oblasti Člověk a příroda a Polytechnická výchova pro ZŠ a Přírodovědné vzdělávání pro SŠ. Soutěž je koncipována mezioborově napříč přírodovědnými předměty tak, aby se přiblížila nové možnosti komplexní výuky Science jako celku.;Mgr. Pavla Machová;605 243 134;pavla.machova@debrujar.cz;Asociace malých debrujárů České republiky, spolek;Senovážné náměstí 977/24, 110 00 Praha 1;www.poharvedy.eu
Networking Academy Games;Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.;Cílem soutěže Networking Academy Games je umožnit studentům středních škol prezentovat znalosti a dovednosti z oblasti počítačových sítí, které získávají díky studiu v programu Cisco Networking Academy nebo běžné výuky počítačových sítí v rámci RVP. Klade důraz nejen na základy počítačových sítí, ale i na kybernetickou bezpečnost, problematiku diagnostiky chyb a jejich řešení. Soutěž zároveň umožňuje ocenit nejlepší skupiny studentů, podnítit jejich zájem o další studium síťových technologií a vyhledávat nové talenty.;19;oborová;x;x;březen 2026;Ne;Ne;Soutěž Networking Academy Games vychází z RVP počítačových sítí na středních odborných školách. Zaměřuje se na základní dovednosti konfigurace síťových prvků, identifikaci problémů vzniklých kybernetickým útokem nebo špatnou konfigurací a jejich správné řešení. Na konci ústředního kola je vždy vysvětlen správný postup řešení daného zadání.;Miloslav Penc;495 518 777;penc@ssakhk.cz;Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.;Hradecká 1151/9, 500 03 Hradec Králové;https://netacad-games.cz/
Středoškolská odborná činnost;Středoškolská odborná činnost, z. ú.;Středoškolská odborná činnost (SOČ) je odbornou tvůrčí aktivitou, jejímž účelem je u žáků všech oborových zaměření a úrovní středního vzdělávání podporovat řešení vlastních témat, zpracování odborných prací a umožňovat jejich veřejnou prezentaci formou soutěžních přehlídek. V posledních letech probíhá soutěž v 18 soutěžních oborech. Pro potřeby řízení a organizace soutěže jsou organizátorem vydána pravidla, k základním patří Organizační řád Středoškolské odborné činnosti a Propozice SOČ. Řídícím orgánem SOČ je Ústřední komise SOČ. V souladu s platnými pravidly se soutěž uskutečňuje formou školních, okresních a krajských přehlídek a celostátní přehlídky SOČ. Konání školních, okresních a krajských přehlídek řídí kraje, resp. kraji pověřené organizace. K řízení soutěže jsou v krajích a okresech zřizovány příslušné komise, vizte sekci Organizační struktura SOČ na webu www.soc.cz. Soutěž vrcholí celostátní přehlídkou SOČ uskutečňovanou v daném školním roce kolem poloviny června.;48;oborová;březen - duben 2026;duben - květen 2026;červen 2026;Ano;Ano;"Soutěž rozvíjí tvůrčí činnost nadaných žáků a žákyň středních škol nad rámec rámcových vzdělávacích plánů. Podporuje tak ustanovení Strategie 2030+.Středoškolská odborná činnost dále přímo navazuje na část 10 RVP pro gymnázia (Vzdělávání mimořádně nadaných žáků), ve formě ""zapojení do samostatných a rozsáhlejších prací a projektů”. Při zpracování soutěžních pracídochází též k k “doplnění, rozšíření a prohloubení vzdělávacího obsahu”. Jednotlivé přehlídky SOČ, vrcholící Celostátní přehlídkou, pak umožňují žákům ještě více prohloubit své znalosti a hlavně získat zpětnou vazbu, kterou by v rámci standardního vzdělávacího procesu získávali spíše obtížně.";prof. Ing. Jakub Fischer, Ph.D.;603 308 588;jakub.fischer@vse.cz;Vysoká škola ekonomická v Praze, Fakulta informatiky a statistiky;nám. W. Churchilla 4, 130 67 Praha 3;www.soc.cz
ROBOSOUTĚŽ;České vysoké učení technické v Praze;"ROBOSOUTĚŽ (v letošním roce 2025 se koná již 17. ročník) je v současnosti jedna z největších a nejpopulárnějších robotických soutěží v České republice pořádaná Českým vysokým učením technickým v Praze, Fakultou elektrotechnickou. Každý rok je rozdělena na jarní a podzimní část. Jarní část je určena pro týmy z 2. stupně ZŠ a odpovídajících tříd víceletých gymnázií (primy, sekundy, tercie a kvarty), Podzimní část je pak určena pro týmy studentů ze středních škol. Soutěž je určena pro tříčlenné týmy. Úkolem každého týmu je sestavit a naprogramovat robota ze stavebnice LEGO Mindstorms Education NXT nebo LEGO Mindstorms Education EV3 nebo LEGO Education Spike PRIME nebo ze stavebnice Brian (školám stavebnici v případě zájmu zapůjčujeme) tak, aby splnil zadanou a snadno kontrolovanou soutěžní úlohu a to co možná nejlépe. Soutěž slouží k popularizaci technických předmětů a k rozvoji spolupráce se základními a středními školami.. Základní informace o ROBOSOUTĚŽI lze nalézt na webových stránkách: robosoutez.fel.cvut.cz nebo na FB www.facebook.com/robosoutez. Prvotní představu o ROBOSOUTĚŽI lze získat nejlépe z propagačního videa - https://www.facebook.com/robosoutez/videos/388173922026308/ nebo z videa z finálové ROBOSOUTĚŽE 2021 - https://www.facebook.com/CVUTFEL/videos/480682256724739. Na stránkách robosoutez.fel.cvut.cz je v sekci ROBOSOUTĚŽ PRO ZŠ (jarní kola) a v sekci ROBOSOUTĚŽ PRO SŠ (podzimní kola) uveden harmonogram soutěže včetně registračního formuláře a podmínek účasti v soutěži. V roce 2025 se koná již 17. ročník ROBOSOUTĚŽE. Po zaregistrování týmů do soutěže si mohou týmy ihned zapůjčit stavebnici LEGO MINDSTORMS EV3 nebo stavebnici Brian pro přípravu úlohy a na webových stránkách robosoutez.fel.cvut.cz jsou v sekci ROBOSOUTĚŽ PRO ZŠ (jarní kola) a v sekci ROBOSOUTĚŽ PRO SŠ (podzimní kola) uvedeny následující informace - harmonogram soutěže, zadání úlohy pro daný ročník, přihlášené týmy, ceny v soutěži, výsledky soutěže a obvykle i zajímavé a neočekávané otázky a odpovědi přímo od přihlášených týmů. Navíc pro pedagogy pořádáme ""Robotické LEGO semináře"". Na jaře se koná ""Robotický LEGO seminář pro učitele základních škol"", který je určen pro učitele základních škol, kteří by se chtěli seznámit nebo zdokonalit v používání stavebnice LEGO MINDSTORMS Education EV3, LEGO SPIKE Prime nebo stavebnice Brian a je zaměřen především na praktické použití stavebnice LEGO Mindstorms EV3, LEGO SPIKE Prime a stavebnice Brian ve výuce a je zde možnost si i vyzkoušet úlohu pro ROBOSOUTĚŽ pro 2. stupeň ZŠ a odpovídajících tříd víceletých gymnázií a na podzim pak pořádáme ""Robotický LEGO seminář pro středoškolské učitele"", kde si mohou vyzkoušet úlohu pro ROBOSOUTĚŽ PRO SŠ.";17;oborová;x;x;18. - 21. listopad 2025 (SŠ), 22. - 24. dubna 2026 (ZŠ);Ne;Ano;Týmy v soutěži používají stavebnici LEGO MIndstorms Education EV3, LEGO Mindstorms Education NXT nebo LEGO Education Spike PRIME nebo stavebnici Brian, které přímo splňují cíle základního vzdělávání - umožňuje žákům osvojit si strategie učení a motivovat je pro celoživotní učení, podněcuje žáky k tvořivému myšlení, logickému uvažování a k řešení problémů, vedy žáky k všestranné, účinné a otevřené komunikaci, rozvíjí u žáků schopnost spolupracovat a respektovat práci a úspěchy vlastní i druhých a pomáhá žákům poznávat a rozvíjet vlastní schopnosti v souladu s reálnými možnostmi a uplatňovat je spolu s osvojenými vědomostmi a dovednostmi při rozhodování o vlastní životní a profesní orientaci. Přímo podporuje kompetence k učení, kompetence k řešení problémů, kompetence komunikativní a kompetence pracovní. Soutěž spadá do vzdělávací oblasti Informatika a informační a komunikační technologie a Matematika a její aplikace.;Martin Hlinovský, Ing., Ph.D.;721 677 670;martin.hlinovsky@fel.cvut.cz;ČVUT v Praze, Fakulta elektrotechnická, katedra řídicí techniky;Karlovo nám. 13, 121 35 Praha 2;www.robosoutez.fel.cvut.cz
Fyziklání;Univerzita Karlova ;Fyziklání je soutěž v řešení fyzikálních úloh primárně pro pětičlenné týmy žáků středních škol a gymnázií, mohou se však účastnit i nadaní zájemci ze základních škol. Žáci se v této soutěži potýkají s netradičními úlohami, se kterými se na hodinách fyziky příliš často nesetkají. Nejedná se o úlohy, které lze řešit pouhým dosazením do jednoduchého vzorce, nýbrž o úlohy, u kterých je nutno kreativně myslet, které rozvíjejí logické myšlení účastníků a často kombinují více fyzikálních principů.;20;oborová;x;x;13. února 2026;Ano;Ano;Soutěž staví na týmovém řešení úloh, v nichž žáci analyzují problémy, které jsou často zasazené do prostředí z reálného života či výzkumu, pracují s daty, volí vlastní strategii a své závěry v případě potřeby věcně obhajují. Formát tak přirozeně podporuje kompetence, na které se kurikulární revize zaměřuje – propojení teorie s praxi, kritické vyhodnocování informací a kolektivní argumentaci, nikoliv pouhé memorování vzorců. Soutěž má také doprovodný program (exkurze na vědecká pracoviště, diskuze s odborníky a setkávání vrstevníků se společným zájmem o fyziku), který výše zmíněné dále rozšiřuje a pomáhá žákům vnímat fyziku jako živou, společensky užitečnou disciplínu. Soutěž je určena žákům středních škol (ISCED 3) a při přípravě úloh vychází především z odpovídajících rámcových vzdělávacích programů. Uvědomujeme si ale, že konkrétní rozsah teoretických znalostí bude po zavedení konkrétních ŠVP pro účely soutěže různý, což se projeví zejména u jejích nižších kategorií. Vývoj proto průběžně sledujeme (přímo i nepřímo v rámci diskuzí s pedagogy a odborníky z pracovišť, která pedagogy připravují) a v případě potřeby budeme reagovat např. úpravou skladby soutěžních úloh, při které si soutěž udrží odbornou úroveň.;Vojtěch David;730 974 923;vojtech.david@fykos.cz;Ústav teoretické fyziky;FYKOS, Ústav teoretické fyziky, Matematicko-fyzikální fakulta Univerzity Karlovy, V Holešovičkách 2, 18000 Praha 8;https://fyziklani.cz
Fyziklání online;Univerzita Karlova ;Fyziklání Online je týmová soutěž, v průběhu které žáci mohou porovnat své síly s ostatními studenty z celého světa. Během tří hodin až pětičlenné týmy žáků prostřednictvím počítačů ze školy či domova řeší netradiční fyzikální problémy, které mají za cíl zábavnou formou rozvíjet fyzikální myšlení a zvýšit zájem o přírodní vědy.;15;oborová;x;x;26. listopadu 2025;Ano;Ano;Soutěž staví na týmovém řešení úloh, v nichž žáci analyzují problémy, které jsou často zasazené do prostředí z reálného života či výzkumu, pracují s daty, volí vlastní strategii a své závěry v případě potřeby věcně obhajují. Formát podporuje kompetence, na které se kurikulární revize zaměřuje – propojení teorie s praxi, kritické vyhodnocování informací a kolektivní argumentaci. Online prostředí umožňuje týmům vyhledávat a ověřovat data a společně ověřovat myšlenky. Soutěž tím také rozvíjí digitální kompetence, které revize RVP klade do popředí, a přesouvá důraz od memorování vzorců k porozumění fyzikálním principům. Soutěž je určena žákům středních škol (ISCED 3) a při přípravě úloh vychází především z odpovídajících rámcových vzdělávacích programů. Uvědomujeme si ale, že konkrétní rozsah teoretických znalostí bude po zavedení konkrétních ŠVP pro účely soutěže různý, což se projeví zejména u jejích nižších kategorií. Vývoj proto průběžně sledujeme (přímo i nepřímo v rámci diskuzí s pedagogy a odborníky z pracovišť, která pedagogy připravují) a v případě potřeby budeme reagovat např. úpravou skladby soutěžních úloh, při které si soutěž udrží odbornou úroveň.;David Škrob;775 504 193;david.skrob@fykos.cz;Ústav teoretické fyziky;FYKOS, Ústav teoretické fyziky, Matematicko-fyzikální fakulta Univerzity Karlovy, V Holešovičkách 2, 18000 Praha 8;https://online.fyziklani.cz/
Kasiopea;Univerzita Karlova ;Kasiopea je soutěž v programování pro žáky středních škol. Soutěžit mohou jak úplní začátečníci, pro které jsou připravené různé tutoriály a lehké zkušební úlohy, tak ale i pokročilí, či zkušení soutěžící, kteří budou řešit záludnější úlohy. Finále soutěže bude probíhat v budově Matematicko-fyzikální fakulty.;11;oborová;x;x;únor 2026;Ne;Ano;Soutěž Kasiopea navazuje na RVP ve vzdělávací oblasti Informatika, zejména pak ve vzdělávacím oboru Algoritmizace a programování. Žáci při řešení soutěžních úloh nabývají a upevňují OVU INF-INF-002-ZV9-006 a INF-INF-002-ZV9-008 a posilují klíčovou kompetenci k řešení problémů, zakotvené v revidovaném RVP ZV.;Mgr. Eugenie Kňazeva;607 610 960;pr@matfyz.cuni.cz;Katedra teoretické informatiky a matematické logiky, Matematicko-fyzikální fakulta Univerzity Karlovy;Malostranské náměstí 25, 118 00 Praha 1;https://kasiopea.matfyz.cz/
Matematický Náboj;Univerzita Karlova ;Matematická soutěž určená primárně pro pětičlenné týmy žáků středních škol a vyššího stupně gymnázií, účastnit se však mohou i nadaní žáci ze základních škol. Cílem je v rámci během dvou hodin vyřešit co nejvíce netradičních matematických a logických příkladů, se kterými se žáci v klasických hodinách matematiky moc nesetkají. Soutěž probíhá mezinárodně v mnoha evropských zemích.;22;oborová;x;x;13. března 2026;Ano;Ano;Cílem soutěže je motivovat žáky ke studiu matematiky a příbuzných věd, stejně tak jako rozvíjet jejich schopnosti analyzovat a řešit netradičními problémy, k jejichž řešení je potřeba kreativita a dobrý nápad. Kromě toho je pro úspěch v soutěži nutné v týmu efektivně komunikovat, rozdělit si vhodně práci a diskutovat, což pro soutěžící přináší cenné zkušenosti do každodenního života. Úlohy jsou připravovány studenty MFF spolu s mezinárodní komunitou, z níž mnozí mají přímou zkušenost s mezinárodními olympiádami. Soutěž je tedy koncipována i pro nejlepší středoškolské matematiky, kteří poté ČR na mezinárodních soutěžích reprezentují.;Anna Marie Minarovičová;731 850 256;anna.minarovicova.ol@gmail.com;Matematicko-fyzikální fakulta Univerzity Karlovy;Ke Karlovu 3, 121 16 Praha 2;https://math.naboj.org/
Matematická Soutěž MaSo;Univerzita Karlova ;MaSo je matematická soutěž, při které žáci počítají matematické příklady, řeší různé logické úlohy a u toho hrají strategickou hru. Soutěžící za vyřešení úloh mohou odehrávat tahy ve hře. Kromě samostatné činnosti je důležitá i koordinace a vzájemná spolupráce. Umístění týmu na stupních vítězů záleží nejen na tom, kolik správně vyřeší příkladů, ale také na strategii ve hře. Během hry je povoleno používat papír a tužku, ostatní pomůcky jako tabulky (a další literatura), kalkulačky, rýsovací pomůcky, elektronická zařízení jsou zakázány.;37 a 38;oborová;x;x;12. listopadu a 13. května 2026;Ne;Ano;"Matematická soutěž MaSo dlouhodobě rozvíjí hned několik z nově vymezených klíčových kompetencí. Jelikož soutěž umožňuje žákům využít již nabyté znalosti a aplikovat je na netradičních úlohách (často problémech z reálného života), podporuje jejich kompetenci k učení a jako dobrovolná aktivita je motivuje k převzetí odpovědnosti za svůj rozvoj. Zadávané úlohy nabádají žáky k hledání netradičních řešení, doprovodná hra je vede k plánování jejich tahů a průběžnému vyhodnocování strategie, čímž přispívá k získávání kompetence k řešení problémů. Pro úspěch v soutěži je nutná i efektivní spolupráce a komunikace v týmu, která jistě rozvíjí klíčovou kompetenci komunikační i osobností a sociální. Úlohy v soutěži se opírají o jednotlivé tematické celky vzdělávací oblasti Matematika a její aplikace, jako například zlomky, desetinná čísla a procenta v kontextu reálných situací; převody jednotek; interpretace grafů a tabulek; řešení lineárních rovnic či nerovnic; využití poměrů v reálném životě.";Michal Bernat;607 610 960;hlavni@maso.mff.cuni.cz;Matematicko-fyzikální fakulta Univerzity Karlovy;Ke Karlovu 3, 121 16 Praha 2;https://maso.mff.cuni.cz/
Náboj Junior;Univerzita Karlova ;Náboj Junior je týmová soutěž založená na řešení souboru matematických a fyzikálních úloh pro žáky druhého stupně základních škol a odpovídajících ročníků víceletých gymnázií.;13;oborová;x;x;21. listopadu 2025;Ano;Ano;Soutěž staví na týmovém řešení úloh, v nichž žáci analyzují problémy, které jsou často zasazené do prostředí z reálného života, čímž rozvíjí logicko-matematickou gramotnost, především rozvojem schopnosti aplikovat matematické modely na reálné situace. Formát tak přirozeně podporuje kompetence, na které se kurikulární revize zaměřuje – propojení teorie s praxi, kritické vyhodnocování informací a kolektivní argumentaci, nikoliv pouhé memorování vzorců.;Bc. Kateřina Rosická;722 192 408;rosicka@naboj.org;Katedra fyziky povrchů a plazmatu, Matematicko-fyzikální fakulta Univerzity Karlovy;V Holešovičkách 2, 180 00 Praha 8;https://junior.naboj.org/
Olympiáda v českém jazyce;Klub OČJ, z. s.;Olympiáda v českém jazyce je soutěž vycházející z obsahu vzdělávacího oboru český jazyk a literatura v RVP, jejímž cílem je umožnit talentovaným žákům základních a středních škol porovnat úroveň vlastního jazykového a slohového projevu s ostatními a získat tím motivaci k dalšímu odbornému růstu. Jedná se o postupovou soutěž určenou žakům základních a středních škol, kteří soutěží ve 2 kategoriích: I. kategorie je určena žákům 8. a 9. ročníků základních škol, 3. a 4. ročníků osmiletých gymnázií a 1. a 2. ročníků šestiletých gymnázií, II. kategorie je určena žákům 1.–4. ročníků středních škol, 5.–8. ročníků osmiletých gymnázií a 3.–6. ročníků šestiletých gymnázií.;52;oborová;leden 2026;březen 2026;červen 2026;Ne;Ano;Olympiáda v českém jazyce je soutěž vycházející z obsahu vzdělávacího oboru český jazyk a literatura v revidovaném RVP;Mgr. Ing. Petr Štěpánek, Ph.D.;777 846 069;stepanek@epc.cz;Klub OČJ, z. s. ;Slepá 548, 253 03 Chýně;www.olympiada-cj.cz
Olympiáda v českém jazyce pro děti v zahraničí;Češká škola bez hranic;Soutěž je určena 1) žákům českých škol v zahraničí (do soutěže je přihlašuje škola) 2) jednotlivcům (děti s českými kořeny), kteří dlouhodobě žijí v zahraničí, ale nenavštěvují českou školu (do soutěže je přihlašují rodiče). Podmínkou je absolvování většiny školní docházky v zahraničí. České školy bez hranic a partnerské školy nominují v každé kategorii maximálně dva žáky. Další školy a spolky poskytující výuku češtiny v zahraničí nominují jednoho žáka v každé kategorii. Soutěží se ve dvou kategoriích:1. kategorie: 8–10 let / 2. kategorie: 11–13 let. Věk účastníků se počítá k datu konání soutěže.;8;oborová;x;x;28. března - 18. května 2026;Ano;Ne;1. Důraz na porozumění textu, práce s jazykem a rozvoj čtenářské gramotnosti V obou kategoriích je součástí soutěže práce s literárním i neliterárním textem. To přímo odpovídá požadavkům nové verze RVP ZV, která klade důraz na porozumění, práci s informací a samostatnou interpretaci. 2. Podpora psaní a funkčního vyjadřování (slohová část) V obou kategoriích obsahuje soutěž slohovou práci. Hodnocení reflektuje nejen jazykovou správnost, ale především obsahovou originalitu, stylistickou úroveň a schopnost argumentace. Tento přístup odpovídá kompetenčnímu modelu, který je v revidovaném RVP ZV zásadní – psaní není cílem samo o sobě, ale prostředkem ke komunikaci a vyjádření vlastních myšlenek. 3. Kreativní myšlení a osobní rozvoj Zadání podporují tvořivé myšlení, imaginaci, jazykovou hru a smysl pro jazyk. Tím se přirozeně rozvíjí kompetence k učení, řešení problémů i vlastnímu vyjádření – v souladu s posílenou rolí osobnostního rozvoje žáka podle revize. 4. Zohlednění specifických podmínek žáků v zahraničí Olympiáda vychází z reality bilingvního či multilingvního prostředí: úkoly pracují s přirozeným jazykovým citem, nikoli s důrazem na pravopisné výjimky nebo úzké znalosti mluvnických jevů, témata reflektují současnou zkušenost dětí – např. moderní postavy jako Leoš Mareš, nebo emocionální svědectví historických událostí, forma soutěže je uzpůsobena možnosti online organizace i v malotřídních podmínkách. Tím olympiáda naplňuje doporučení revidovaného RVP ZV k podpoře různorodých potřeb žáků a ke kultivaci pozitivního vztahu k češtině i ve specifickém prostředí. 5. Interdisciplinární a občanský přesah Využití textů se společenskovědním kontextem (Winton, staré pověsti české) podporuje rozvoj občanské gramotnosti a mezipředmětové propojení – další cíl aktualizovaného RVP ZV. Závěr Olympiáda v českém jazyce pro děti žijící v zahraničí je plně v souladu s probíhající revizí RVP ZV: - rozvíjí funkční gramotnosti (čtenářskou, jazykovou, komunikační), - podporuje tvořivé a kritické myšlení, - je adaptovaná na potřeby žáků v multikulturním a vícejazyčném prostředí, - poskytuje metodicky jasné a hodnotově motivující zadání v souladu s novým pojetím výuky českého jazyka;Mgr. Ivana Cechlová;+ 0033 789 065 746;ivana.cechlova@csbh.cz;ass. Entract en France - Česká škola bez hranic v Paříži;18 rue Bonaparte, 750 06 Paris;www.csbh.cz
Fyzikální náboj;Univerzita Karlova ;Týmová soutěž v řešení fyzikálních úloh.;28;oborová;x;x;7. listopadu 2025;Ano;Ne;Soutěž staví na týmovém řešení úloh, v nichž žáci analyzují problémy, které jsou často zasazené do prostředí z reálného života či výzkumu, pracují s daty, volí vlastní strategii a své závěry v případě potřeby věcně obhajují. Formát tak přirozeně podporuje kompetence, na které se kurikulární revize zaměřuje – propojení teorie s praxi, kritické vyhodnocování informací a kolektivní argumentaci, nikoliv pouhé memorování vzorců. Soutěž je určena žákům středních škol (ISCED 3). Úlohy připravuje slovenský autorský tým, který se opírá o témata středoškolské fyziky společná v celém regionu, a odpovídají tedy i aktuálním českým podobám RVP i ŠVP. Vývoj kurikul nicméně průběžně sledujeme a v případě nutnosti budeme na změny ve školství ve spolupráci se zahraničními kolegy reagovat.;Jakub Kliment;944 020 582;jakub.kliment@fykos.cz;Ústav teoretické fyziky;FYKOS, Ústav teoretické fyziky, Matematicko-fyzikální fakulta Univerzity Karlovy, V Holešovičkách 2, 18000 Praha 8;https://physics.naboj.org
Zlatá udice;Český rybářský svaz, z. s.;Zlatá udice je celorepubliková rybářská soutěž pořádaná Českým rybářským svazem (dále jen ČRS), která má již dlouholetou tradici. Jedná se o prakticko-vědomostní soutěž, kdy děti soutěží ve třech disciplínách, a to ve vědomostech z oblasti rybářství, poznávání ryb, rostlin a živočichů, v lovu ryb na udici a v rybolovné technice. Do soutěže se zapojují rybářské kroužky, a to pod místními organizacemi ČRS, DDM nebo ZŠ. Samotná soutěž má tři úrovně a od roku 2019 je pořádáno mezinárodní kolo této soutěže, a to pod názvem Zlatá udice/Zlatý blyskáč. Cílem této soutěže je v samém začátku seznámit děti a mládež s problematikou ochrany přírody, čistoty vod, s poznáváním živočišných a rostlinných druhů kolem našich vod a s některými předpisy a zákony, bez jejichž znalosti nelze obdržet rybářský lístek a následně povolenku k lovu ryb.;52;ostatní;duben – květen 2026;květen – červen 2026;19. - 21. červen 2026;Ano;Ne;Soutěž navazuje na Rámcový vzdělávací program pro základní vzdělávání. Soutěž ve své znalostní části navazuje na učivo přírodních věd (přírodopis, přírodověda). Děti v této části rozvíjejí své znalosti v oblasti přírodních věd a zároveň v oblasti ekologie a ochrany životního prostředí. Ve sportovní části jsou u dětí rozvíjeny motorické dovednosti. Děti, které procházejí touto soutěží jsou všestranné v oboru sportovního rybolovu a rybářství a řada z nich odchází studovat rybářské školy nebo školy zaměřené na přírodovědné vědy a ekologii;Bc. Petra Hnízdilová;720 163 092;hnizdilova@rybsvaz.cz;Český rybářský svaz, z. s.;Nad Olšinami 282/31, 100 00 Praha 10;www.rybsvaz.cz
Podpora dětí a mládeže z vyloučených lokalit - tvořivé a vzdělávací aktivity;Elpizo z. s.;Soutěž rozvíjí tvořivost a vzdělávací dovednosti dětí ze sociálně slabého prostředí. V rámci výtvarných, literárních, pohybových a týmových aktivit získávají účastníci podporu v sebedůvěře, spolupráci a vztahu ke vzdělání.;1;ostatní;x;x;6. - 11. července 2025;Ne;Ne;Aktivně rozvíjí klíčové kompetence (k učení, komunikaci, občanské, pracovní). Učení probíhá formou zážitků, týmové spolupráce, podpory individuality a praktického řešení úkolů.;Brigita Horváthová;704 106 436;elpizo@email.cz;Elpizo, z. s. ;Syrovín 128, 696 84 Syrovín;www.elpizo.cz
